Sl. No.,District,2021-22 - Amount Sanctioned,2021-22 - Amount Utilised,2022-23 - Amount Sanctioned,2022-23 - Amount Utilised,2023-24 - Amount Sanctioned,2023-24 - Amount Utilised,Grand Total - Total Amount Sanctioned,Grand Total - Total Amount Utilised
1,Araria,0.01,NA,5.36,NA,NA,NA,5.37,NA
2,Aurangabad,7.38,5.79,NA,NA,NA,NA,7.38,5.79
3,Banka,9.01,4.75,2,NA,3,0.79,14.01,5.54
4,Begusarai,6.01,2.07,NA,NA,NA,NA,6.01,2.07
5,Gaya,4.01,3.48,7.84,3.96,NA,NA,11.85,7.43
6,Jamui,3.16,2.78,6.85,6.29,NA,NA,10.01,9.08
7,Katihar,5.01,2.26,8,0,NA,NA,13.01,2.26
8,Khagaria,15.81,12.59,3.72,1.26,13.35,NA,32.88,13.85
9,Muzaffarpur,6.01,5.29,11.97,NA,NA,NA,17.98,5.29
10,Nawada,21.87,2.07,NA,NA,NA,NA,21.87,2.07
11,Purnia,5.38,NA,NA,NA,NA,NA,5.38,NA
12,Sheikhpura,3.01,2.65,7.2,NA,NA,NA,10.21,2.65
13,Sitamarhi,NA,NA,3.01,NA,NA,NA,3.01,NA
Grand Total,Grand Total,86.68,43.74,55.94,11.5,16.35,0.79,158.97,56.04
